time (s),VT("/out") -  VDC("/out") (V)
261.50E-9,8.6728302E-3
262.00E-9,8.7480011E-3
262.50E-9,8.8139723E-3
263.00E-9,8.8698635E-3
263.50E-9,8.9166277E-3
264.00E-9,8.9547884E-3
264.50E-9,8.9831904E-3
265.00E-9,9.0023203E-3
265.50E-9,9.0119185E-3
266.00E-9,9.0120858E-3
266.50E-9,9.0027705E-3
267.00E-9,8.9840065E-3
267.50E-9,8.9558023E-3
268.00E-9,8.9181931E-3
268.50E-9,8.8712162E-3
269.00E-9,8.8149224E-3
269.50E-9,8.7493706E-3
270.00E-9,8.6746305E-3
270.50E-9,8.5907810E-3
271.00E-9,8.4979109E-3
271.50E-9,8.3961181E-3
272.00E-9,8.2855106E-3
272.50E-9,8.1662051E-3
273.00E-9,8.0383279E-3
273.50E-9,7.9020142E-3
274.00E-9,7.7574082E-3
274.50E-9,7.6046627E-3
275.00E-9,7.4429715E-3
275.50E-9,7.2734524E-3
276.00E-9,7.0971428E-3
276.50E-9,6.9129746E-3
277.00E-9,6.7217242E-3
277.50E-9,6.5233241E-3
278.00E-9,6.3175906E-3
278.50E-9,6.1050611E-3
279.00E-9,5.8865170E-3
279.50E-9,5.6615888E-3
280.00E-9,5.4307930E-3
280.50E-9,5.1942444E-3
281.00E-9,4.9522531E-3
281.50E-9,4.7038891E-3
282.00E-9,4.4504362E-3
282.50E-9,4.1932523E-3
283.00E-9,3.9312061E-3
283.50E-9,3.6648099E-3
284.00E-9,3.3942500E-3
284.50E-9,3.1204192E-3
285.00E-9,2.8431552E-3
285.50E-9,2.5629609E-3
286.00E-9,2.2792307E-3
286.50E-9,1.9928862E-3
287.00E-9,1.7050297E-3
287.50E-9,1.4150987E-3
288.00E-9,1.1232790E-3
288.50E-9,829.97620E-6
289.00E-9,536.16553E-6
289.50E-9,241.61707E-6
290.00E-9,-53.106669E-6
290.50E-9,-348.71333E-6
291.00E-9,-644.17190E-6
291.50E-9,-938.27409E-6
292.00E-9,-1.2316974E-3
292.50E-9,-1.5242044E-3
293.00E-9,-1.8154039E-3
293.50E-9,-2.1042961E-3
294.00E-9,-2.3911397E-3
294.50E-9,-2.6753690E-3
295.00E-9,-2.9576377E-3
295.50E-9,-3.2369757E-3
296.00E-9,-3.5122515E-3
296.50E-9,-3.7840983E-3
297.00E-9,-4.0522382E-3
297.50E-9,-4.3163507E-3
298.00E-9,-4.5755585E-3
